Database name,KML name,Image name,iNat code
Yorkshire and The Humber,Yorkshire & the Humber Coast,Yorkshire and the Humber Coast.png,214247
Northern Ireland,Northern Ireland Coast,Northern Ireland Coast.png,214370
Wales,Welsh Coast,Welsh Coast.png,214413
South East,South East Coast,South East Coast.png,214128
East Midlands,East Midlands Coast merged,East Midlands Coast.png,214369
North West,North West Coast,North West Coast.png,214248
Scotland,Scottish Coast,Scottish Coast.png,214412
South West,South West Coast,South West Coast.png,214126
East of England,East of England Coast,East of England Coast.png,214130
North East,North East England Coast,North East England Coast.png,214245
Channel Islands,NA,NA,149301
